X	Y	DBH	HT
124.92	166.42	14.99	13.41
50.55	166.73	15.49	13.72
65.79	167.03	13.46	10.36
32.56	167.34	18.29	13.11
186.49	167.34	11.68	9.14
41.1	167.64	16.76	14.02
110.29	167.64	67.82	22.86
63.35	167.94	15.75	12.19
8.48	168.25	15.49	14.63
58.78	168.55	19.81	16.15
141.07	168.55	49.53	22.56
40.49	168.86	13.21	10.97
52.98	168.86	14.22	11.28
88.04	169.16	18.03	11.28
42.32	169.47	17.53	11.89
149.3	169.47	12.7	9.75
17.02	169.77	12.95	10.36
173.99	169.77	66.55	28.96
20.98	170.38	11.43	11.28
177.65	170.38	53.09	28.35
18.24	171.91	11.94	10.67
56.64	171.91	13.21	11.28
117.91	172.21	21.34	16.15
77.67	172.82	13.72	12.19
75.23	173.43	16.51	12.8
46.28	173.74	19.05	13.11
184.66	173.74	11.94	9.75
67	174.35	13.46	12.5
195.02	174.35	16.26	13.72
82.55	174.65	13.97	9.75
145.64	174.96	22.86	15.54
74.32	175.26	14.73	9.14
67.61	175.56	16.76	14.63
3.3	175.87	14.48	11.28
49.63	175.87	12.45	10.97
92.61	175.87	14.73	12.19
153.26	175.87	16.76	13.11
108.76	176.17	17.27	16.46
63.96	176.48	25.15	16.76
119.43	176.48	23.88	20.12
30.12	177.09	28.7	15.85
83.77	177.09	14.73	10.67
123.7	177.09	19.3	19.2
53.9	177.7	12.95	10.97
105.1	178	13.21	10.67
74.32	178.92	13.21	9.45
193.8	178.92	21.34	16.15
49.94	179.22	13.72	12.19
42.93	179.53	13.72	10.36
132.23	179.53	12.19	12.8
162.1	179.83	28.96	18.59
68.22	180.14	16.76	10.67
24.03	180.44	20.83	15.54
117.91	180.75	14.22	14.33
22.5	181.05	18.8	13.41
152.35	181.36	34.04	18.29
11.53	181.66	22.35	14.33
62.43	181.66	17.27	14.02
16.71	181.97	19.3	17.07
150.22	182.27	22.61	16.46
14.88	182.88	19.05	14.33
23.11	183.18	12.19	12.19
182.22	183.79	19.3	17.37
50.55	184.4	20.83	14.63
141.99	184.4	20.83	14.94
3.91	184.71	15.24	11.89
184.66	184.71	19.05	15.24
57.56	185.01	16	12.8
25.25	185.32	18.29	14.94
30.43	185.32	18.03	14.94
150.82	185.32	20.32	16.15
115.77	185.62	62.48	26.82
120.04	185.93	18.03	13.41
169.42	185.93	16.26	14.02
102.97	186.23	18.54	14.33
174.6	186.23	17.78	15.54
125.22	186.84	18.29	13.72
67.61	187.15	26.16	17.37
2.08	187.45	11.68	10.97
141.99	187.76	58.42	24.69
28.9	188.06	19.81	14.63
30.43	188.37	18.29	14.63
161.19	188.67	18.54	16.15
186.79	188.98	17.78	15.24
8.79	189.28	20.57	14.94
111.51	189.59	12.95	12.19
22.81	190.2	16	13.11
159.36	190.2	20.83	17.07
7.57	190.5	12.7	10.97
110.59	190.5	19.56	12.8
10.92	190.8	12.7	9.75
175.82	190.8	28.19	18.59
17.93	191.11	14.22	12.19
50.85	191.11	18.29	14.63
75.23	191.72	28.7	17.98
56.03	192.02	19.81	15.85
57.56	192.33	25.15	18.29
95.05	192.63	17.27	10.97
65.48	192.94	11.43	9.75
183.13	193.24	28.96	17.37
10.92	193.85	15.24	12.8
147.17	193.85	13.97	12.19
6.35	194.16	16	11.89
76.76	194.16	27.94	18.29
89.56	194.46	23.88	18.29
190.75	194.77	20.57	14.63
43.23	195.07	18.8	14.63
11.23	195.38	12.95	10.67
167.28	195.38	16	14.94
94.44	195.99	16.51	11.58
1.47	196.29	15.49	13.11
25.86	196.6	19.81	15.24
97.79	196.6	23.11	17.98
27.38	196.9	14.99	12.19
153.57	196.9	20.07	17.68
18.24	197.21	11.43	9.14
122.17	197.21	17.53	13.11
70.36	197.51	19.56	14.02
115.16	197.82	23.37	16.15
58.47	198.12	19.05	16.15
119.74	198.42	24.38	16.76
81.03	198.73	22.61	19.81
65.18	199.34	18.03	13.11
48.41	199.64	22.1	15.24
12.75	199.95	12.95	12.8
70.05	0	23.62	19.81
0.56	0.3	21.34	11.58
136.19	0.61	13.97	11.28
39.88	0.91	21.08	17.68
53.59	0.91	14.99	12.8
180.7	0.91	15.49	13.72
81.03	1.22	24.38	17.07
170.64	1.22	22.35	16.46
1.17	1.83	13.21	12.5
57.56	1.83	11.94	8.23
48.41	2.13	12.19	9.45
187.1	2.13	12.45	12.5
129.79	2.44	11.18	11.28
86.82	2.74	24.89	19.2
66.7	3.05	13.97	11.28
59.38	3.35	12.19	9.75
186.49	3.35	13.46	13.41
70.05	3.96	19.81	15.54
181.91	3.96	17.78	14.63
0.56	4.57	18.29	15.54
73.41	4.88	17.02	14.33
172.16	4.88	21.84	13.41
120.95	5.18	17.27	14.33
89.86	5.49	19.3	17.07
152.35	5.49	20.83	13.72
35.31	5.79	11.43	10.36
84.68	6.1	13.21	11.89
150.22	6.1	12.7	9.45
36.52	7.01	13.46	12.5
140.16	7.62	13.72	9.75
78.28	7.92	27.18	19.2
47.8	8.23	20.83	17.07
149	8.53	16.76	12.19
166.98	8.53	69.09	28.65
16.1	8.84	26.16	15.24
131.62	8.84	12.7	10.97
72.19	9.14	20.07	14.02
133.45	9.14	16.26	13.41
68.53	9.45	12.95	12.19
65.79	9.75	16.51	11.89
200.81	9.75	45.47	22.25
25.25	10.06	14.22	12.19
68.22	10.06	21.08	15.24
61.21	10.36	24.89	14.63
142.29	10.36	13.97	11.58
13.66	10.67	12.45	7.32
20.68	10.97	19.3	14.02
151.43	10.97	14.73	11.58
180.7	10.97	13.21	12.5
184.96	11.28	14.22	11.58
150.22	11.58	12.45	10.36
117.3	12.19	19.81	14.33
177.04	12.19	23.62	16.46
54.2	12.8	11.43	10.36
77.67	13.11	15.24	13.41
181.91	13.11	18.29	14.63
33.78	13.41	13.46	10.97
173.38	13.72	15.24	11.89
21.89	14.02	16	10.97
42.01	14.63	12.95	9.45
184.05	14.63	19.81	14.94
92.61	14.94	12.7	10.06
171.86	14.94	15.24	12.8
150.82	15.85	17.78	12.8
16.71	16.15	13.46	10.97
131.32	16.15	14.73	11.58
86.51	16.46	17.02	9.14
166.06	16.46	14.99	14.02
42.01	16.76	20.32	14.63
159.36	16.76	11.68	10.67
193.19	16.76	17.53	13.72
22.5	17.07	12.45	10.06
158.14	17.07	16.76	12.19
145.34	17.68	18.54	12.19
165.46	17.98	12.45	10.97
87.43	18.29	14.73	9.45
197.46	18.59	13.72	13.72
104.19	18.9	19.05	14.33
155.7	18.9	11.68	9.45
82.55	19.2	11.94	10.36
